num,title,start_date,end_date,all_day,repeats,description,location_name,address,city,state,zip,event_link,notes
39,Chabad SP – Hebrew School,"December 13, 2026 10:00 AM","December 13, 2026 12:00 PM",,,Chabad Hebrew School of the Arts.,Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,
41,Chabad SP – CYP Dinner & Discussion,"December 22, 2026 07:00 PM","December 22, 2026 08:30 PM",,,Dinner and conversation for 20s & 30s.,Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,
43,Chabad SP – Hebrew School,"January 3, 2027 10:00 AM","January 3, 2027 12:00 PM",,,Chabad Hebrew School of the Arts.,Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,
45,Chabad SP – Hebrew School,"January 10, 2027 10:00 AM","January 10, 2027 12:00 PM",,,Chabad Hebrew School of the Arts.,Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,
48,Chabad SP – Prosecco & Planters,"January 19, 2027 06:30 PM","January 19, 2027 08:30 PM",,,Women's Night Out—prosecco and a hands-on planting experience.,Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,
50,Chabad SP – Hebrew School,"January 24, 2027 10:00 AM","January 24, 2027 12:00 PM",,,Chabad Hebrew School of the Arts.,Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,
51,Chabad SP – JLI,"January 24, 2027 07:00 PM","January 24, 2027 09:00 PM",,,Jewish Learning Institute course.,Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,
52,Chabad SP – CYP Dinner & Discussion,"January 26, 2027 07:00 PM","January 26, 2027 08:30 PM",,,Dinner and conversation for 20s & 30s.,Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,
53,Chabad SP – Hebrew School,"January 31, 2027 10:00 AM","January 31, 2027 12:00 PM",,,Chabad Hebrew School of the Arts.,Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,
54,Chabad SP – JLI,"January 31, 2027 07:00 PM","January 31, 2027 09:00 PM",,,Jewish Learning Institute course.,Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,
61,Chabad SP – Hebrew School,"February 28, 2027 10:00 AM","February 28, 2027 12:00 PM",,,Chabad Hebrew School of the Arts.,Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,
62,Chabad SP – JLI,"February 28, 2027 07:00 PM","February 28, 2027 09:00 PM",,,Jewish Learning Institute course.,Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,
65,Chabad SP – Hebrew School,"March 7, 2027 10:00 AM","March 7, 2027 12:00 PM",,,Chabad Hebrew School of the Arts.,Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,
68,Chabad SP – CYP Dinner & Discussion,"March 16, 2027 07:00 PM","March 16, 2027 08:30 PM",,,Dinner and conversation for 20s & 30s.,Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,
69,Chabad SP – Hebrew School,"March 21, 2027 10:00 AM","March 21, 2027 12:00 PM",,,Chabad Hebrew School of the Arts.,Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,
72,Chabad SP – Hebrew School,"March 28, 2027 10:00 AM","March 28, 2027 12:00 PM",,,Chabad Hebrew School of the Arts.,Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,
74,Chabad SP – Hebrew School,"April 4, 2027 10:00 AM","April 4, 2027 12:00 PM",,,Chabad Hebrew School of the Arts.,Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,
76,Chabad SP – Hebrew School,"April 11, 2027 10:00 AM","April 11, 2027 12:00 PM",,,Chabad Hebrew School of the Arts.,Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,
78,Chabad SP – CYP Dinner & Discussion,"April 13, 2027 07:00 PM","April 13, 2027 08:30 PM",,,Dinner and conversation for 20s & 30s.,Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,
80,Chabad SP – Hebrew School,"April 18, 2027 10:00 AM","April 18, 2027 12:00 PM",,,Chabad Hebrew School of the Arts.,Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,
82,Chabad SP – Moshiach Meal,"April 29, 2027 08:00 PM","April 29, 2027 10:00 PM",,,The traditional festive meal on the last day of Pesach.,Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,
84,Chabad SP – Hebrew School,"May 9, 2027 10:00 AM","May 9, 2027 12:00 PM",,,Chabad Hebrew School of the Arts.,Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,
85,Chabad SP – CYP Dinner & Discussion,"May 11, 2027 07:00 PM","May 11, 2027 08:30 PM",,,Dinner and conversation for 20s & 30s.,Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,
87,Chabad SP – Hebrew School,"May 16, 2027 10:00 AM","May 16, 2027 12:00 PM",,,Chabad Hebrew School of the Arts.,Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,
88,Chabad SP – JLI,"May 16, 2027 07:00 PM","May 16, 2027 09:00 PM",,,Jewish Learning Institute course.,Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,
89,Chabad SP – Hebrew School,"May 23, 2027 10:00 AM","May 23, 2027 12:00 PM",,,Chabad Hebrew School of the Arts.,Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,
90,Chabad SP – JLI,"May 23, 2027 07:00 PM","May 23, 2027 09:00 PM",,,Jewish Learning Institute course.,Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,
91,Chabad SP – JLI,"June 6, 2027 07:00 PM","June 6, 2027 09:00 PM",,,Jewish Learning Institute course.,Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,
92,Chabad SP – Florals & Floritinis,"June 7, 2027 06:30 PM","June 7, 2027 08:30 PM",,,Women's Night Out—floral arranging with cocktails.,Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,
93,Chabad SP – Shavuot Ice Cream Party,"June 11, 2027 05:00 PM","June 11, 2027 07:00 PM",,,Celebrate Shavuot with an ice cream party for the whole family.,Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,
94,Chabad SP – JLI,"June 13, 2027 07:00 PM","June 13, 2027 09:00 PM",,,Jewish Learning Institute course.,Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,
95,Chabad SP – CYP Dinner & Discussion,"June 15, 2027 07:00 PM","June 15, 2027 08:30 PM",,,Dinner and conversation for 20s & 30s.,Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,
96,Chabad SP – Camp Gan Israel Begins,"June 28, 2027","June 28, 2027",Yes,,"Our summer day camp kicks off for another season of fun, friends, and Jewish pride.",Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,All-day; no time listed in email.
97,Chabad SP – July 4th Barbecue,"July 4, 2027 05:00 PM","July 4, 2027 07:00 PM",,,A community Independence Day barbecue.,Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,
98,Chabad SP – Camp Gan Israel Ends,"July 23, 2027","July 23, 2027",Yes,,Final day of our summer day camp season.,Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,All-day; no time listed in email.
99,Chabad SP – Torah & Tea,"September 1, 2026 11:00 AM","September 1, 2026 12:00 PM",,"Weekly on Tuesdays through July 27, 2027",Weekly women's Torah class over tea.,Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,
100,Chabad SP – Men's Tanya Class,"September 1, 2026 07:00 PM","September 1, 2026 08:00 PM",,"Weekly on Tuesdays through July 27, 2027",Weekly Chassidic philosophy class for men.,Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,Held at the Korf residence (not the Chabad Center) — confirm address before submitting.
101,Chabad SP – Shabbat Services,"September 5, 2026 09:30 AM","September 5, 2026 01:00 PM",,"Weekly on Saturdays through July 31, 2027","9:30 AM services begin, 10:30 AM Torah reading, 12:00 PM lunch.",Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,
102,"Chabad SP – Sunday ""Chosen Joe"" Minyan & Breakfast","September 6, 2026 09:00 AM","September 6, 2026 10:30 AM",,"Weekly on Sundays through July 25, 2027","Morning minyan followed by a full breakfast, sponsored by the Benstock family.",Chabad Center for Jewish Life,533 4th St N,St. Petersburg,FL,33701,,
